ell,D_ell_mean_uK2,D_ell_std_uK2,n_seeds
230.450001,1.570492e-05,3.319440e-05,10
305.963875,4.379512e-05,4.096576e-05,10
406.222141,5.260380e-05,5.041251e-05,10
539.333042,6.219385e-05,4.614252e-05,10
716.061735,6.376408e-05,3.606011e-05,10
950.700898,5.220557e-05,2.812473e-05,10
1262.226640,3.809677e-05,2.609901e-05,10
1675.833161,4.443718e-05,2.402034e-05,10
2224.970298,4.028567e-05,2.205423e-05,10
2954.048733,3.868498e-05,3.188580e-05,10
3922.031646,5.037674e-05,3.115677e-05,10
5207.203272,7.091247e-05,3.736112e-05,10
