ell,D_ell_mean_uK2,D_ell_std_uK2,n_seeds
230.450001,2.484819e-06,1.774901e-06,10
305.963875,1.305198e-05,8.338108e-06,10
406.222141,1.264987e-05,5.086039e-06,10
539.333042,1.304136e-05,2.550197e-06,10
716.061735,1.774043e-05,1.968091e-06,10
950.700898,2.050033e-05,2.224788e-06,10
1262.226640,2.200657e-05,2.756364e-06,10
1675.833161,2.442737e-05,3.013291e-06,10
2224.970298,2.679513e-05,2.794436e-06,10
2954.048733,2.967137e-05,2.909563e-06,10
3922.031646,3.209923e-05,3.015237e-06,10
5207.203272,3.501221e-05,3.086458e-06,10
