ell,D_ell_mean_uK2,D_ell_std_uK2,n_seeds
230.450001,1.204940e-06,0.000000e+00,1
305.963875,4.454665e-06,0.000000e+00,1
406.222141,1.744630e-05,0.000000e+00,1
539.333042,1.273357e-05,0.000000e+00,1
716.061735,2.084194e-05,0.000000e+00,1
950.700898,1.923399e-05,0.000000e+00,1
1262.226640,2.007576e-05,0.000000e+00,1
1675.833161,2.013719e-05,0.000000e+00,1
2224.970298,2.523584e-05,0.000000e+00,1
2954.048733,2.672109e-05,0.000000e+00,1
3922.031646,2.986222e-05,0.000000e+00,1
5207.203272,3.233752e-05,0.000000e+00,1
