ell,z0,D_ell_mean_uK2,D_ell_std_uK2,x_HII,n_seeds
500.0,5.7500,2.386838e-05,7.666121e-06,0.8917,10
500.0,7.2500,8.887899e-05,4.597978e-05,0.5097,10
500.0,8.7500,1.027771e-04,5.201462e-05,0.2212,10
500.0,10.2500,8.612733e-05,3.585545e-05,0.0940,10
500.0,11.7500,4.548800e-05,2.034486e-05,0.0399,10
500.0,13.2500,1.436060e-05,1.369701e-05,0.0154,10
500.0,14.7500,7.260060e-06,6.319045e-06,0.0047,10
500.0,16.2500,9.946489e-07,1.301042e-06,0.0015,10
1000.0,5.7500,1.730757e-05,3.822921e-06,0.8917,10
1000.0,7.2500,5.749193e-05,1.509129e-05,0.5097,10
1000.0,8.7500,8.377552e-05,3.356355e-05,0.2212,10
1000.0,10.2500,5.736896e-05,3.163265e-05,0.0940,10
1000.0,11.7500,2.777209e-05,2.885358e-05,0.0399,10
1000.0,13.2500,1.638727e-05,6.938838e-06,0.0154,10
1000.0,14.7500,3.521146e-06,3.640204e-06,0.0047,10
1000.0,16.2500,1.648732e-06,1.371789e-06,0.0015,10
3000.0,5.7500,1.177352e-05,1.247037e-06,0.8917,10
3000.0,7.2500,4.275176e-05,1.217100e-05,0.5097,10
3000.0,8.7500,8.724048e-05,5.650533e-05,0.2212,10
3000.0,10.2500,6.501826e-05,2.702440e-05,0.0940,10
3000.0,11.7500,3.174999e-05,2.309381e-05,0.0399,10
3000.0,13.2500,2.747413e-05,1.248516e-05,0.0154,10
3000.0,14.7500,8.991242e-06,1.114725e-05,0.0047,10
3000.0,16.2500,2.299634e-06,2.478554e-06,0.0015,10
