ell,z0,D_ell_mean_uK2,D_ell_std_uK2,x_HII,n_seeds
500.0,5.7500,1.195564e-05,2.606939e-06,0.8917,10
500.0,7.2500,2.165873e-05,3.681930e-06,0.5097,10
500.0,8.7500,2.339046e-05,4.296348e-06,0.2212,10
500.0,10.2500,1.671225e-05,3.773677e-06,0.0940,10
500.0,11.7500,7.334474e-06,1.852353e-06,0.0399,10
500.0,13.2500,4.494901e-06,1.210256e-06,0.0154,10
500.0,14.7500,1.611842e-06,5.422004e-07,0.0047,10
500.0,16.2500,4.774633e-07,1.589178e-07,0.0015,10
1000.0,5.7500,1.470443e-05,1.552506e-06,0.8917,10
1000.0,7.2500,2.940112e-05,3.160465e-06,0.5097,10
1000.0,8.7500,3.320647e-05,3.809570e-06,0.2212,10
1000.0,10.2500,2.538752e-05,2.882496e-06,0.0940,10
1000.0,11.7500,1.178891e-05,1.419097e-06,0.0399,10
1000.0,13.2500,7.348975e-06,8.879134e-07,0.0154,10
1000.0,14.7500,2.645315e-06,3.525244e-07,0.0047,10
1000.0,16.2500,8.633116e-07,1.316799e-07,0.0015,10
3000.0,5.7500,9.223723e-06,6.870740e-07,0.8917,10
3000.0,7.2500,2.614686e-05,2.268961e-06,0.5097,10
3000.0,8.7500,4.280288e-05,3.920019e-06,0.2212,10
3000.0,10.2500,3.941272e-05,3.625492e-06,0.0940,10
3000.0,11.7500,2.071419e-05,2.099358e-06,0.0399,10
3000.0,13.2500,1.516737e-05,1.389790e-06,0.0154,10
3000.0,14.7500,7.181599e-06,7.048433e-07,0.0047,10
3000.0,16.2500,3.201079e-06,4.067117e-07,0.0015,10
