ell,z0,D_ell_uK2,x_HI
500.0,6.5000,4.340721e+00,0.2851
500.0,7.3214,2.531107e+00,0.5188
500.0,8.1429,8.972796e+00,0.6958
500.0,8.9643,1.069503e+01,0.8082
500.0,9.7857,-4.701778e+00,0.8763
500.0,10.6071,3.731744e+01,0.9207
500.0,11.4286,1.147659e+00,0.9525
500.0,12.2500,5.585146e+01,0.9710
500.0,13.0714,1.103067e+01,0.9836
500.0,13.8929,4.285751e+01,0.9908
500.0,14.7143,5.160117e+01,0.9948
500.0,15.5357,-1.652057e+00,0.9973
500.0,16.3571,5.192444e+01,0.9985
500.0,17.1786,6.524887e+01,0.9992
500.0,18.0000,4.086676e+01,0.9995
1000.0,6.5000,2.490265e+01,0.2851
1000.0,7.3214,2.946775e+01,0.5188
1000.0,8.1429,3.761832e+01,0.6958
1000.0,8.9643,4.228089e+01,0.8082
1000.0,9.7857,5.154125e+01,0.8763
1000.0,10.6071,4.180640e+01,0.9207
1000.0,11.4286,5.267703e+01,0.9525
1000.0,12.2500,5.302524e+01,0.9710
1000.0,13.0714,6.338718e+01,0.9836
1000.0,13.8929,5.156248e+01,0.9908
1000.0,14.7143,5.521228e+01,0.9948
1000.0,15.5357,7.267107e+01,0.9973
1000.0,16.3571,5.804596e+01,0.9985
1000.0,17.1786,6.897985e+01,0.9992
1000.0,18.0000,6.251201e+01,0.9995
3000.0,6.5000,2.200004e+01,0.2851
3000.0,7.3214,2.006269e+01,0.5188
3000.0,8.1429,2.400087e+01,0.6958
3000.0,8.9643,2.077017e+01,0.8082
3000.0,9.7857,2.539870e+01,0.8763
3000.0,10.6071,2.383429e+01,0.9207
3000.0,11.4286,4.430043e+01,0.9525
3000.0,12.2500,1.864096e+01,0.9710
3000.0,13.0714,4.383130e+01,0.9836
3000.0,13.8929,1.636760e+01,0.9908
3000.0,14.7143,3.478346e+01,0.9948
3000.0,15.5357,3.252142e+01,0.9973
3000.0,16.3571,1.692810e+01,0.9985
3000.0,17.1786,2.809686e+01,0.9992
3000.0,18.0000,4.388246e+01,0.9995
