ell,z0,D_ell_uK2,x_HII
500.0,5.7500,2.496633e-04,0.8931
500.0,7.2500,4.527603e-04,0.5094
500.0,8.7500,5.576426e-04,0.2212
500.0,10.2500,4.917605e-04,0.0939
500.0,11.7500,2.456795e-04,0.0399
500.0,13.2500,1.399380e-04,0.0153
500.0,14.7500,4.252750e-05,0.0047
500.0,16.2500,1.139040e-05,0.0015
1000.0,5.7500,2.494693e-04,0.8931
1000.0,7.2500,4.930955e-04,0.5094
1000.0,8.7500,6.003468e-04,0.2212
1000.0,10.2500,4.779874e-04,0.0939
1000.0,11.7500,2.416778e-04,0.0399
1000.0,13.2500,1.464067e-04,0.0153
1000.0,14.7500,4.649113e-05,0.0047
1000.0,16.2500,1.280094e-05,0.0015
3000.0,5.7500,1.370697e-04,0.8931
3000.0,7.2500,3.584286e-04,0.5094
3000.0,8.7500,5.507768e-04,0.2212
3000.0,10.2500,4.858824e-04,0.0939
3000.0,11.7500,2.471491e-04,0.0399
3000.0,13.2500,1.549004e-04,0.0153
3000.0,14.7500,5.181892e-05,0.0047
3000.0,16.2500,1.536881e-05,0.0015
