z,x_HII_median,x_HII_p16,x_HII_p84,n_seeds
5.0000,0.9802,0.9776,0.9814,10
5.1200,0.9739,0.9712,0.9751,10
5.2424,0.9655,0.9629,0.9671,10
5.3672,0.9550,0.9523,0.9567,10
5.4946,0.9414,0.9390,0.9432,10
5.6245,0.9246,0.9220,0.9265,10
5.7570,0.9040,0.9012,0.9059,10
5.8921,0.8793,0.8765,0.8812,10
6.0300,0.8500,0.8476,0.8518,10
6.1706,0.8162,0.8143,0.8175,10
6.3140,0.7780,0.7764,0.7790,10
6.4602,0.7359,0.7349,0.7369,10
6.6095,0.6911,0.6906,0.6923,10
6.7616,0.6445,0.6441,0.6453,10
6.9169,0.5969,0.5966,0.5978,10
7.0752,0.5498,0.5494,0.5505,10
7.2367,0.5038,0.5032,0.5043,10
7.4014,0.4597,0.4591,0.4604,10
7.5695,0.4182,0.4175,0.4189,10
7.7409,0.3794,0.3788,0.3799,10
7.9157,0.3433,0.3430,0.3439,10
8.0940,0.3103,0.3099,0.3108,10
8.2759,0.2801,0.2798,0.2804,10
8.4614,0.2524,0.2521,0.2527,10
8.6506,0.2272,0.2269,0.2275,10
8.8436,0.2044,0.2041,0.2046,10
9.0405,0.1836,0.1833,0.1838,10
9.2413,0.1646,0.1644,0.1648,10
9.4461,0.1474,0.1472,0.1476,10
9.6551,0.1316,0.1314,0.1318,10
9.8682,0.1172,0.1170,0.1173,10
10.0855,0.1040,0.1038,0.1041,10
10.3072,0.0919,0.0917,0.0920,10
10.5334,0.0809,0.0807,0.0810,10
10.7641,0.0708,0.0707,0.0709,10
10.9993,0.0616,0.0615,0.0617,10
11.2393,0.0533,0.0532,0.0534,10
11.4841,0.0459,0.0458,0.0459,10
11.7338,0.0392,0.0391,0.0393,10
11.9885,0.0333,0.0332,0.0333,10
12.2482,0.0281,0.0280,0.0281,10
12.5132,0.0235,0.0235,0.0236,10
12.7835,0.0196,0.0195,0.0196,10
13.0591,0.0162,0.0161,0.0162,10
13.3403,0.0133,0.0132,0.0133,10
13.6271,0.0108,0.0108,0.0109,10
13.9197,0.0088,0.0087,0.0088,10
14.2181,0.0071,0.0070,0.0071,10
14.5224,0.0056,0.0056,0.0056,10
14.8329,0.0045,0.0045,0.0045,10
15.1495,0.0035,0.0035,0.0035,10
15.4725,0.0028,0.0028,0.0028,10
15.8020,0.0022,0.0021,0.0022,10
16.1380,0.0017,0.0017,0.0017,10
16.4808,0.0013,0.0013,0.0013,10
16.8304,0.0010,0.0010,0.0010,10
17.1870,0.0008,0.0008,0.0008,10
17.5507,0.0006,0.0006,0.0006,10
17.9217,0.0005,0.0005,0.0005,10
18.3002,0.0004,0.0004,0.0004,10
18.6862,0.0003,0.0003,0.0004,10
19.0799,0.0003,0.0003,0.0003,10
19.4815,0.0003,0.0003,0.0003,10
19.8911,0.0002,0.0002,0.0002,10
20.3090,0.0002,0.0002,0.0002,10
