experiment,ell,D_ell_uK2,D_err_uK2,n_seeds
SO,223.230496,6.128104e-110,2.089284e-109,10
SO,276.011209,2.837586e-109,2.541148e-109,10
SO,341.271416,nan,nan,10
SO,421.961773,3.353350e-109,3.937725e-109,10
SO,521.730593,8.875449e-110,6.388406e-109,10
SO,645.088794,4.066982e-109,4.983489e-109,10
SO,797.613860,3.967552e-109,2.665397e-109,10
SO,986.202017,3.876638e-109,3.128441e-109,10
SO,1219.380038,4.340825e-109,2.962022e-109,10
SO,1507.690768,2.841927e-109,2.591260e-109,10
SO,1864.169809,5.920608e-109,2.366453e-109,10
SO,2304.934904,2.091033e-109,1.597732e-109,10
SO,2849.914684,1.535882e-109,2.480114e-109,10
SO,3523.749713,2.458919e-109,1.207001e-109,10
SO,4356.906580,1.223434e-109,1.233329e-109,10
SO,5387.055408,1.455106e-109,1.658620e-109,10
SO,6660.773059,2.609274e-110,1.967364e-109,10
SO,8235.649048,4.890534e-110,8.836590e-110,10
SO,10182.889380,4.779375e-111,1.071027e-110,10
SO,12590.536036,-2.606254e-112,1.842559e-111,10
SO,15567.447683,7.241132e-113,5.912501e-113,10
SO,19248.221574,1.322387e-115,5.908534e-115,10
SO,23799.279195,-1.471473e-126,1.632512e-125,10
SO,29426.390798,3.288006e-127,2.070133e-125,10
SO,36383.979040,1.539342e-125,4.230636e-125,10
CMB-S4,223.230496,4.228335e-108,9.099048e-108,10
CMB-S4,276.011209,1.224650e-107,9.148612e-108,10
CMB-S4,341.271416,nan,nan,10
CMB-S4,421.961773,1.709964e-107,1.525748e-107,10
CMB-S4,521.730593,4.827730e-108,3.526354e-107,10
CMB-S4,645.088794,2.236903e-107,1.619880e-107,10
CMB-S4,797.613860,1.698872e-107,1.196115e-107,10
CMB-S4,986.202017,2.239693e-107,1.236393e-107,10
CMB-S4,1219.380038,1.776667e-107,1.372493e-107,10
CMB-S4,1507.690768,1.453527e-107,1.367711e-107,10
CMB-S4,1864.169809,2.466358e-107,1.022405e-107,10
CMB-S4,2304.934904,1.092964e-107,5.387136e-108,10
CMB-S4,2849.914684,4.787405e-108,7.396333e-108,10
CMB-S4,3523.749713,9.925359e-108,5.671994e-108,10
CMB-S4,4356.906580,6.468549e-108,5.891821e-108,10
CMB-S4,5387.055408,8.589796e-109,6.638691e-108,10
CMB-S4,6660.773059,4.626331e-108,5.179035e-108,10
CMB-S4,8235.649048,3.703175e-108,7.343544e-108,10
CMB-S4,10182.889380,8.493764e-109,2.321238e-108,10
CMB-S4,12590.536036,-6.756118e-110,6.628831e-109,10
CMB-S4,15567.447683,3.605268e-110,3.013053e-110,10
CMB-S4,19248.221574,8.038585e-113,3.487653e-112,10
CMB-S4,23799.279195,1.618622e-124,6.682551e-124,10
CMB-S4,29426.390798,-2.032371e-124,1.616060e-123,10
CMB-S4,36383.979040,-1.118401e-123,2.449903e-123,10
CMB-HD,223.230496,8.543053e-107,1.657827e-106,10
CMB-HD,276.011209,2.183170e-106,1.845672e-106,10
CMB-HD,341.271416,nan,nan,10
CMB-HD,421.961773,2.915300e-106,2.673670e-106,10
CMB-HD,521.730593,6.335536e-107,6.076812e-106,10
CMB-HD,645.088794,4.506051e-106,2.759572e-106,10
CMB-HD,797.613860,2.981103e-106,1.646504e-106,10
CMB-HD,986.202017,3.738115e-106,2.086161e-106,10
CMB-HD,1219.380038,2.938480e-106,1.875766e-106,10
CMB-HD,1507.690768,4.044649e-106,2.173101e-106,10
CMB-HD,1864.169809,4.537213e-106,1.359780e-106,10
CMB-HD,2304.934904,2.904102e-106,1.511514e-106,10
CMB-HD,2849.914684,2.396743e-106,9.117864e-107,10
CMB-HD,3523.749713,2.455914e-106,1.201360e-106,10
CMB-HD,4356.906580,2.127912e-106,1.000573e-106,10
CMB-HD,5387.055408,1.116677e-106,1.148741e-106,10
CMB-HD,6660.773059,5.270704e-107,1.142192e-106,10
CMB-HD,8235.649048,4.246719e-107,1.021602e-106,10
CMB-HD,10182.889380,5.637745e-107,5.463417e-107,10
CMB-HD,12590.536036,5.173352e-107,6.230661e-107,10
CMB-HD,15567.447683,1.311886e-107,2.951752e-107,10
CMB-HD,19248.221574,1.686976e-108,4.026320e-108,10
CMB-HD,23799.279195,-4.511896e-123,2.193066e-122,10
CMB-HD,29426.390798,4.600814e-123,1.909253e-122,10
CMB-HD,36383.979040,1.231182e-122,2.350915e-122,10
