bound,ell,D_ell_uK2
lo,90.3048,0.000255
lo,106.6527,0.000182
lo,131.4865,0.000912
lo,163.8522,0.000949
lo,199.8478,0.001496
lo,245.0628,0.001423
lo,303.7508,0.003650
lo,360.6696,0.004343
lo,437.5479,0.006277
lo,539.4295,0.006168
lo,650.9083,0.007372
lo,815.4961,0.007774
lo,937.6224,0.006934
lo,1213.1544,0.007372
lo,1402.3394,0.006314
lo,1775.8949,0.006752
lo,2177.6864,0.004635
lo,2571.9138,0.003540
lo,3136.9204,0.003029
lo,3867.3421,0.002847
lo,4666.5688,0.002044
lo,5722.3677,0.003759
lo,6794.6616,0.002299
lo,8331.9359,0.000657
lo,10608.1836,0.000292
hi,88.3867,0.001460
hi,108.9673,0.002372
hi,135.0629,0.003467
hi,159.5134,0.003321
hi,199.8478,0.004708
hi,243.7510,0.003978
hi,283.2790,0.006898
hi,349.2396,0.007117
hi,439.9027,0.009672
hi,545.2513,0.010620
hi,657.9332,0.011058
hi,798.1746,0.012482
hi,963.1257,0.011533
hi,1168.4202,0.012445
hi,1440.4831,0.011496
hi,1766.3886,0.011825
hi,2166.0293,0.009526
hi,2684.7536,0.007883
hi,3292.1720,0.007336
hi,4015.4073,0.006898
hi,4767.8401,0.006642
hi,5753.1641,0.007664
hi,7403.9567,0.004635
hi,8838.6705,0.001314
hi,10896.7262,0.000182
