ell,bound,z0,D_ell_uK2
500,lo,6.2705,0.000200
500,lo,6.6393,0.000360
500,lo,7.2295,0.001920
500,lo,7.8525,0.005760
500,lo,8.1803,0.008600
500,lo,8.5902,0.012560
500,lo,9.0574,0.014040
500,lo,9.6557,0.013240
500,lo,10.0820,0.012480
500,lo,10.4754,0.010280
500,lo,10.9262,0.007840
500,lo,11.0574,0.006480
500,lo,11.4590,0.005960
500,lo,11.8689,0.004200
500,lo,12.2541,0.002440
500,lo,12.5328,0.001160
500,lo,12.8443,0.000680
500,hi,6.3033,0.003000
500,hi,6.8852,0.003080
500,hi,7.8934,0.009200
500,hi,8.5410,0.015120
500,hi,8.9426,0.017160
500,hi,9.6967,0.016480
500,hi,10.2951,0.015280
500,hi,10.8361,0.011680
500,hi,11.3525,0.009880
500,hi,12.1885,0.007160
500,hi,12.7377,0.004840
1000,lo,6.3689,-0.001400
1000,lo,6.7869,-0.000840
1000,lo,7.4508,0.002480
1000,lo,7.9016,0.006400
1000,lo,8.3525,0.011480
1000,lo,8.6475,0.013880
1000,lo,9.0820,0.016440
1000,lo,9.6557,0.017120
1000,lo,10.5984,0.012840
1000,lo,11.0000,0.009720
1000,lo,10.1885,0.015320
1000,lo,11.3279,0.008080
1000,lo,11.7377,0.005400
1000,lo,12.0574,0.003600
1000,lo,12.5164,0.002080
1000,lo,12.8115,0.001400
1000,hi,6.3361,0.001960
1000,hi,6.7295,0.002160
1000,hi,7.3689,0.005080
1000,hi,8.0082,0.011680
1000,hi,8.6311,0.017920
1000,hi,9.0410,0.021160
1000,hi,9.6475,0.022000
1000,hi,10.2131,0.020080
1000,hi,10.6639,0.017040
1000,hi,11.1639,0.014360
1000,hi,11.4344,0.012160
1000,hi,11.9098,0.009680
1000,hi,12.3607,0.007640
1000,hi,12.8689,0.007120
3000,lo,6.2459,-0.000800
3000,lo,6.4344,-0.000480
3000,lo,6.6803,-0.000680
3000,lo,7.1475,-0.000520
3000,lo,7.9754,0.003080
3000,lo,8.7541,0.007200
3000,lo,9.2459,0.009040
3000,lo,9.8934,0.009040
3000,lo,10.4672,0.007240
3000,lo,11.0492,0.005440
3000,lo,11.6475,0.003240
3000,lo,12.0902,0.001480
3000,lo,12.5410,0.000120
3000,lo,12.8115,-0.000160
3000,hi,6.2459,0.003040
3000,hi,6.6803,0.002040
3000,hi,7.4262,0.003200
3000,hi,7.8852,0.005920
3000,hi,8.4508,0.009680
3000,hi,9.2049,0.013400
3000,hi,9.8852,0.013920
3000,hi,10.7787,0.011200
3000,hi,11.3852,0.009920
3000,hi,11.8689,0.007600
3000,hi,12.5656,0.006040
3000,hi,12.8934,0.006120
