scenario,z,x_HII
Fiducial,5.1176,0.9549
Fiducial,5.1373,0.9530
Fiducial,5.2745,0.9511
Fiducial,5.2941,0.9511
Fiducial,5.4314,0.9511
Fiducial,5.4510,0.9511
Fiducial,5.5294,0.9474
Fiducial,5.5490,0.9474
Fiducial,5.5686,0.9474
Fiducial,5.5882,0.9474
Fiducial,5.6078,0.9436
Fiducial,5.6275,0.9436
Fiducial,5.6471,0.9436
Fiducial,5.6667,0.9436
Fiducial,5.6863,0.9398
Fiducial,5.7059,0.9398
Fiducial,5.7255,0.9398
Fiducial,5.7451,0.9398
Fiducial,5.7647,0.9361
Fiducial,5.7843,0.9361
Fiducial,5.8039,0.9361
Fiducial,5.8235,0.9361
Fiducial,5.8431,0.9323
Fiducial,5.8627,0.9323
Fiducial,5.8824,0.9323
Fiducial,5.9020,0.9323
Fiducial,5.9216,0.9286
Fiducial,5.9412,0.9286
Fiducial,5.9608,0.9286
Fiducial,5.9804,0.9267
Fiducial,6.0000,0.9248
Fiducial,6.0196,0.9229
Fiducial,6.0392,0.9211
Fiducial,6.0588,0.9173
Fiducial,6.0784,0.9154
Fiducial,6.0980,0.9117
Fiducial,6.1176,0.9098
Fiducial,6.1373,0.9060
Fiducial,6.1569,0.9041
Fiducial,6.1765,0.9004
Fiducial,6.1961,0.8985
Fiducial,6.2157,0.8947
Fiducial,6.2353,0.8929
Fiducial,6.2549,0.8891
Fiducial,6.2745,0.8872
Fiducial,6.2941,0.8835
Fiducial,6.3137,0.8816
Fiducial,6.3333,0.8778
Fiducial,6.3529,0.8759
Fiducial,6.3725,0.8722
Fiducial,6.3922,0.8703
Fiducial,6.4118,0.8665
Fiducial,6.4314,0.8647
Fiducial,6.4510,0.8609
Fiducial,6.4706,0.8590
Fiducial,6.4902,0.8553
Fiducial,6.5098,0.8515
Fiducial,6.5294,0.8477
Fiducial,6.5490,0.8402
Fiducial,6.5686,0.8365
Fiducial,6.5882,0.8327
Fiducial,6.6078,0.8252
Fiducial,6.6275,0.8214
Fiducial,6.6471,0.8177
Fiducial,6.6667,0.8139
Fiducial,6.6863,0.8064
Fiducial,6.7059,0.8026
Fiducial,6.7255,0.7989
Fiducial,6.7451,0.7914
Fiducial,6.7647,0.7876
Fiducial,6.7843,0.7838
Fiducial,6.8039,0.7763
Fiducial,6.8235,0.7726
Fiducial,6.8431,0.7688
Fiducial,6.8627,0.7650
Fiducial,6.8824,0.7575
Fiducial,6.9020,0.7538
Fiducial,6.9216,0.7500
Fiducial,6.9412,0.7425
Fiducial,6.9608,0.7387
Fiducial,6.9804,0.7350
Fiducial,7.0000,0.7274
Fiducial,7.0196,0.7237
Fiducial,7.0392,0.7162
Fiducial,7.0588,0.7124
Fiducial,7.0784,0.7049
Fiducial,7.0980,0.7011
Fiducial,7.1176,0.6936
Fiducial,7.1373,0.6880
Fiducial,7.1569,0.6823
Fiducial,7.1765,0.6767
Fiducial,7.1961,0.6711
Fiducial,7.2157,0.6635
Fiducial,7.2353,0.6598
Fiducial,7.2549,0.6523
Fiducial,7.2745,0.6466
Fiducial,7.2941,0.6410
Fiducial,7.3137,0.6353
Fiducial,7.3333,0.6297
Fiducial,7.3529,0.6222
Fiducial,7.3725,0.6184
Fiducial,7.3922,0.6109
Fiducial,7.4118,0.6071
Fiducial,7.4314,0.5996
Fiducial,7.4510,0.5940
Fiducial,7.4706,0.5883
Fiducial,7.4902,0.5827
Fiducial,7.5098,0.5771
Fiducial,7.5294,0.5695
Fiducial,7.5490,0.5658
Fiducial,7.5686,0.5583
Fiducial,7.5882,0.5545
Fiducial,7.6078,0.5489
Fiducial,7.6275,0.5432
Fiducial,7.6471,0.5376
Fiducial,7.6667,0.5320
Fiducial,7.6863,0.5263
Fiducial,7.7059,0.5207
Fiducial,7.7255,0.5150
Fiducial,7.7451,0.5094
Fiducial,7.7647,0.5038
Fiducial,7.7843,0.4981
Fiducial,7.8039,0.4925
Fiducial,7.8235,0.4868
Fiducial,7.8431,0.4812
Fiducial,7.8627,0.4756
Fiducial,7.8824,0.4699
Fiducial,7.9020,0.4643
Fiducial,7.9216,0.4586
Fiducial,7.9412,0.4530
Fiducial,7.9608,0.4474
Fiducial,7.9804,0.4417
Fiducial,8.0000,0.4361
Fiducial,8.0196,0.4305
Fiducial,8.0392,0.4286
Fiducial,8.0784,0.4173
Fiducial,8.1176,0.4079
Fiducial,8.1373,0.4041
Fiducial,8.1569,0.4004
Fiducial,8.1765,0.3929
Fiducial,8.1961,0.3891
Fiducial,8.2157,0.3853
Fiducial,8.2353,0.3816
Fiducial,8.2549,0.3741
Fiducial,8.2745,0.3703
Fiducial,8.2941,0.3665
Fiducial,8.3137,0.3628
Fiducial,8.3333,0.3571
Fiducial,8.3529,0.3515
Fiducial,8.3725,0.3477
Fiducial,8.3922,0.3440
Fiducial,8.4118,0.3383
Fiducial,8.4314,0.3327
Fiducial,8.4510,0.3289
Fiducial,8.4706,0.3252
Fiducial,8.4902,0.3195
Fiducial,8.5098,0.3158
Fiducial,8.5294,0.3120
Fiducial,8.5490,0.3083
Fiducial,8.5686,0.3045
Fiducial,8.5882,0.3026
Fiducial,8.6078,0.2989
Fiducial,8.6275,0.2951
Fiducial,8.6471,0.2914
Fiducial,8.6667,0.2876
Fiducial,8.6863,0.2838
Fiducial,8.7059,0.2801
Fiducial,8.7255,0.2763
Fiducial,8.7451,0.2744
Fiducial,8.7647,0.2707
Fiducial,8.7843,0.2669
Fiducial,8.8039,0.2632
Fiducial,8.8235,0.2594
Fiducial,8.8431,0.2556
Fiducial,8.8627,0.2538
Fiducial,8.8824,0.2500
Fiducial,8.9020,0.2462
Fiducial,8.9216,0.2425
Fiducial,8.9412,0.2387
Fiducial,8.9608,0.2350
Fiducial,8.9804,0.2312
Fiducial,9.0000,0.2293
Fiducial,9.0196,0.2256
Fiducial,9.0392,0.2237
Fiducial,9.0588,0.2218
Fiducial,9.0784,0.2180
Fiducial,9.0980,0.2162
Fiducial,9.1176,0.2143
Fiducial,9.1373,0.2105
Fiducial,9.1569,0.2086
Fiducial,9.1765,0.2068
Fiducial,9.1961,0.2030
Fiducial,9.2157,0.2011
Fiducial,9.2353,0.1992
Fiducial,9.2549,0.1955
Fiducial,9.2745,0.1936
Fiducial,9.2941,0.1917
Fiducial,9.3137,0.1880
Fiducial,9.3333,0.1861
Fiducial,9.3529,0.1842
Fiducial,9.3725,0.1805
Fiducial,9.3922,0.1786
Fiducial,9.4118,0.1767
Fiducial,9.4314,0.1748
Fiducial,9.4510,0.1711
Fiducial,9.4706,0.1692
Fiducial,9.4902,0.1673
Fiducial,9.5098,0.1654
Fiducial,9.5294,0.1635
Fiducial,9.5490,0.1617
Fiducial,9.5686,0.1598
Fiducial,9.5882,0.1579
Fiducial,9.6078,0.1560
Fiducial,9.6275,0.1541
Fiducial,9.6471,0.1523
Fiducial,9.6667,0.1504
Fiducial,9.6863,0.1504
Fiducial,9.7059,0.1485
Fiducial,9.7255,0.1466
Fiducial,9.7451,0.1447
Fiducial,9.7647,0.1429
Fiducial,9.7843,0.1410
Fiducial,9.8039,0.1391
Fiducial,9.8235,0.1372
Fiducial,9.8431,0.1353
Fiducial,9.8627,0.1353
Fiducial,9.8824,0.1335
Fiducial,9.9020,0.1316
Fiducial,9.9216,0.1297
Fiducial,9.9412,0.1278
Fiducial,9.9608,0.1259
Fiducial,9.9804,0.1241
Fiducial,10.0000,0.1241
Fiducial,10.0196,0.1203
Fiducial,10.0392,0.1203
Fiducial,10.0588,0.1203
Fiducial,10.0784,0.1184
Fiducial,10.0980,0.1165
Fiducial,10.1176,0.1165
Fiducial,10.1373,0.1165
Fiducial,10.1569,0.1128
Fiducial,10.1765,0.1128
Fiducial,10.1961,0.1128
Fiducial,10.2157,0.1109
Fiducial,10.2353,0.1090
Fiducial,10.2549,0.1090
Fiducial,10.2745,0.1071
Fiducial,10.2941,0.1053
Fiducial,10.3137,0.1053
Fiducial,10.3333,0.1053
Fiducial,10.3529,0.1034
Fiducial,10.3725,0.1015
Fiducial,10.3922,0.1015
Fiducial,10.4118,0.0996
Fiducial,10.4314,0.0977
Fiducial,10.4510,0.0977
Fiducial,10.4706,0.0977
Fiducial,10.4902,0.0940
Fiducial,10.5098,0.0940
Fiducial,10.5294,0.0940
Fiducial,10.5490,0.0940
Fiducial,10.5686,0.0921
Fiducial,10.5882,0.0902
Fiducial,10.6078,0.0902
Fiducial,10.6275,0.0902
Fiducial,10.6471,0.0902
Fiducial,10.6667,0.0902
Fiducial,10.6863,0.0865
Fiducial,10.7059,0.0865
Fiducial,10.7255,0.0865
Fiducial,10.7451,0.0865
Fiducial,10.7647,0.0865
Fiducial,10.7843,0.0846
Fiducial,10.8039,0.0827
Fiducial,10.8235,0.0827
Fiducial,10.8431,0.0827
Fiducial,10.8627,0.0827
Fiducial,10.8824,0.0808
Fiducial,10.9020,0.0789
Fiducial,10.9216,0.0789
Fiducial,10.9412,0.0789
Fiducial,10.9608,0.0789
Fiducial,10.9804,0.0789
Fiducial,11.0000,0.0752
Fiducial,11.0196,0.0752
Fiducial,11.0392,0.0752
Fiducial,11.0588,0.0752
Fiducial,11.0784,0.0752
Fiducial,11.0980,0.0752
Fiducial,11.1176,0.0752
